Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight
Dell Alienware m18 R2,https://www.gadgets360.com/dell-alienware-m18-r2-price-in-india-124747,"₹ 296,490",18.00-inch,2560x1600 pixels,Core i9,Windows 11,1TB,N/A
HP Spectre x360 16-F2005TX,https://www.gadgets360.com/hp-spectre-x360-16-f2005tx-price-in-india-124750,"₹ 195,999",16.00-inch,3840x2400 pixels,Core i7,Windows 11,1TB,N/A
Samsung Galaxy Book 4 360,https://www.gadgets360.com/samsung-galaxy-book-4-360-price-in-india-124374,N/A,15.60-inch,1920x1080 pixels,Intel Core Ultra 5,Windows 11,512GB,N/A
Asus ROG Strix Scar 18,https://www.gadgets360.com/asus-rog-strix-scar-18-price-in-india-124196,"₹ 339,990",18.00-inch,2560x1600 pixels,Core i9,Windows 11 Pro,4TB,N/A
Asus ROG Zephyrus G16 (2024),https://www.gadgets360.com/rog-zephyrus-g16-2024-price-in-india-124195,"₹ 189,990",16.00-inch,2560x1600 pixels,Core i9,Windows 11 Pro,2TB,N/A
Asus Chromebook CM14,https://www.gadgets360.com/asus-chromebook-cm14-price-in-india-123994,"₹ 26,990",14.00-inch,1920x1080 pixels,MediaTek Kompanio 520,Chrome OS,N/A,1.45 kg
HP Omen Transcend 14-FB0089TX,https://www.gadgets360.com/hp-omen-transcend-14-fb0089tx-price-in-india-124746,N/A,14.00-inch,2880x1800 pixels,Intel Core Ultra 7,Windows 11,1TB,N/A
Acer Swift Go 14 (SFG14-72T),https://www.gadgets360.com/acer-swift-go-14-sfg14-72t-price-in-india-123881,N/A,14.00-inch,1920x1200 pixels,Intel Core Ultra 5,Windows 11,512GB,N/A
Honor MagicBook X16 (2024),https://www.gadgets360.com/honor-magicbook-x16-2024-price-in-india-123642,N/A,16.00-inch,1920x1220 pixels,Core,Windows 11,512GB,1.68 kg
Samsung Galaxy Book 4 Pro 360,https://www.gadgets360.com/samsung-galaxy-book-4-pro-360-price-in-india-123170,N/A,16.00-inch,1800x2880 pixels,N/A,Windows 11,512GB,N/A
Samsung Galaxy Book 4 Pro,https://www.gadgets360.com/samsung-galaxy-book-4-pro-price-in-india-123169,"₹ 131,990",14.00-inch,1800x2880 pixels,N/A,N/A,512GB,1.23 kg
"MacBook Pro 14-inch (M3 Max, 2023)",https://www.gadgets360.com/macbook-pro-14-inch-m3-max-2023-price-in-india-123270,N/A,14.20-inch,1964x3024 pixels,Apple M3 Max,macOS,1TB,N/A
"MacBook Pro 14-inch (M3, 2023)",https://www.gadgets360.com/macbook-pro-14-inch-m3-2023-price-in-india-122212,N/A,14.20-inch,1964x3024 pixels,Apple M3,macOS,512GB,1.55 kg
"MacBook Pro 16-inch (M3, 2023)",https://www.gadgets360.com/macbook-pro-16-inch-m3-2023-price-in-india-122211,"₹ 249,900",16.20-inch,2234x3456 pixels,Apple M3 Pro,macOS,512GB,2.14 kg
HP Pavilion Plus 16 (2023),https://www.gadgets360.com/hp-pavilion-plus-16-2023-price-in-india-122050,"₹ 124,999",16.00-inch,2560x1600 pixels,Core i7,Windows 11,1TB,N/A
HP Pavilion Plus 14 (2023),https://www.gadgets360.com/hp-pavilion-plus-14-2023-price-in-india-122047,"₹ 91,999",14.00-inch,2880x1800 pixels,Core i7,Windows 11,1TB,N/A
JioBook 2023,https://www.gadgets360.com/jiobook-2023-price-in-india-119965,N/A,11.60-inch,768x1366 pixels,N/A,Android,N/A,0.99 kg
HP Envy x360 15 (AI-powered),https://www.gadgets360.com/hp-envy-x360-15-ai-powered-price-in-india-119562,"₹ 78,999",15.60-inch,1920x1080 pixels,Core i7,Windows 11,N/A,N/A
Lenovo Yoga Book 9i,https://www.gadgets360.com/lenovo-yoga-book-9i-price-in-india-115187,"₹ 224,999",13.30-inch,N/A,Core i7,Windows 11,N/A,N/A
Acer Nitro 16,https://www.gadgets360.com/acer-nitro-16-price-in-india-115101,"₹ 114,990",16.00-inch,1920x1200 pixels,Ryzen 7,Windows 11,2TB,N/A
HP Victus 16 (2023),https://www.gadgets360.com/hp-victus-16-2023-price-in-india-118860,"₹ 59,999",16.10-inch,1920x1080 pixels,Core i5,Windows 11,512GB,N/A
HP Omen 16 (2023),https://www.gadgets360.com/hp-omen-16-2023-price-in-india-118859,"₹ 104,999",16.10-inch,1920x1080 pixels,Core i7,Windows 11,1TB,N/A
HP Omen Transcend 16 (2023),https://www.gadgets360.com/hp-omen-transcend-16-price-in-india-118856,"₹ 159,999",16.00-inch,2560x1600 pixels,Core i7,Windows 11,1TB,N/A
Apple MacBook Air 15 (2023),https://www.gadgets360.com/apple-macbook-air-15-price-in-india-118003,N/A,15.30-inch,1864x2880 pixels,Apple M2,macOS,N/A,N/A
Infinix InBook X2 Slim,https://www.gadgets360.com/infinix-inbook-x2-slim-price-in-india-117955,"₹ 27,990",14.00-inch,1920x1080 pixels,Core i3,Windows 11,256GB,N/A
Dell XPS 17 (13th Gen Intel Core i9),https://www.gadgets360.com/dell-xps-17-13th-gen-intel-core-i9-price-in-india-124893,"₹ 379,777",17.00-inch,3840x2400 pixels,Core i9,Windows 11,1TB,N/A
Acer Aspire 5 (2023),https://www.gadgets360.com/acer-aspire-5-2023-price-in-india-117864,"₹ 70,990",14.00-inch,1900x1200 pixels,Core i5,Windows 11,N/A,N/A
Dell XPS 17,https://www.gadgets360.com/dell-xps-17-price-in-india-117812,"₹ 299,990",17.00-inch,1920x1200 pixels,Core i5,Windows 11,512GB,N/A
Dell XPS 15 (2023),https://www.gadgets360.com/dell-xps-15-2023-price-in-india-117811,"₹ 249,990",15.60-inch,1920x1200 pixels,Core i5,Windows 11,4TB,N/A
Acer Swift Go (2023),https://www.gadgets360.com/acer-swift-go-2023-price-in-india-117271,"₹ 79,990",14.00-inch,2880x1800 pixels,Core i5,Windows 11,512GB,N/A
Asus Vivobook 16 (2023),https://www.gadgets360.com/asus-vivobook-16-2023-price-in-india-117165,N/A,16.00-inch,1920x1200 pixels,Core i5,Windows 11,512GB,N/A
Asus Vivobook 15X OLED,https://www.gadgets360.com/asus-vivobook-15x-oled-price-in-india-117161,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 11,1TB,N/A
Asus Vivobook S 15 OLED (2023),https://www.gadgets360.com/asus-vivobook-s-15-oled-2023-price-in-india-117160,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 11,512GB,N/A
Honor MagicBook X16 (2023),https://www.gadgets360.com/honor-magicbook-x16-2023-price-in-india-117136,N/A,16.00-inch,1920x1080 pixels,Core i5,N/A,512GB,1.75 kg
Honor MagicBook X14 (2023),https://www.gadgets360.com/honor-magicbook-x14-2023-price-in-india-117135,"₹ 48,990",14.00-inch,1920x1080 pixels,Core i5,N/A,512GB,1.43 kg
Asus Zenbook 14 OLED (2023),https://www.gadgets360.com/asus-zenbook-14-oled-2023-price-in-india-117127,"₹ 97,990",14.00-inch,"1,800x2,880 pixels",Core i7,Windows 11,1TB,N/A
Asus Zenbook 14 Flip OLED (UP3404),https://www.gadgets360.com/asus-zenbook-14-flip-oled-up3404-price-in-india-117124,"₹ 109,990",14.00-inch,2880x1800 pixels,Core i7,N/A,512GB,1.50 kg
Asus Zenbook S 13 OLED,https://www.gadgets360.com/asus-zenbook-s-13-oled-price-in-india-117122,"₹ 104,990",13.30-inch,2880x1800 pixels,Core i9,N/A,1TB,1.00 kg
HP Pavilion x360 14-EK1009TU,https://www.gadgets360.com/hp-pavilion-x360-14-ek1009tu-price-in-india-116993,"₹ 57,999",14.00-inch,1920x1080 pixels,Ryzen,Windows 11,1TB,N/A
Dell Inspiron 16 2-in-1,https://www.gadgets360.com/dell-inspiron-16-2-in-1-price-in-india-116862,"₹ 100,990",16.00-inch,1920x1200 pixels,Core i5,N/A,512GB,1.50 kg
